Title: The Pan-STARRS1 distant z > 5.6 Quasar survey: more 
       than 100 quasars within the first Gyr of the Universe 
Authors: Banados E., Venemans B.P., Decarli R., Farina E.P., Mazzucchelli C., 
         Walter F., Fan X., Stern D., Schlafly E., Chambers K.C., Rix H.-W., 
         Jiang L., McGreer I., Simcoe R., Wang F., Yang J., Morganson E., 
         De Rosa G., Greiner J., Balokovic M., Burgett W.S., Cooper T., 
         Draper P.W., Flewelling H., Hodapp K.W., Jun H.D., Kaiser N., 
         Kudritzki R.-P., Magnier E.A., Metcalfe N., Miller D., Schindler J., 
         Tonry J.L., Wainscoat R.J., Waters C., Yang Q. 
Table: PS1 distant quasar sample arithmetic median composite spectra
================================================================================
Byte-by-byte Description of file: datafile6.txt
--------------------------------------------------------------------------------
   Bytes Format Units Label        Explanations
--------------------------------------------------------------------------------
   1-  6 F6.1   0.1nm   Wave         Wavelength in Angstroms
   8- 27 F20.18 --      FluxD        Flux density PS1 composite spectrum
  29- 31 I3     --      N            Number of quasars per wavelength bin
  33- 55 F23.20 --      FluxD(hlya)  Flux density strong lya composite spectrum
  57- 78 F22.19 --      FluxD(llya)  Flux density weak lya composite spectrum
--------------------------------------------------------------------------------
1060.5 0.12836051208159338  104 0.08771593499986315     0.11460839901480034    
1061.0 0.14450441748295953  104 0.08392590479073883     0.16826615693971061    
1061.5 0.14279857719283567  104 0.3249958664779009      0.08527900873984591    
1062.0 0.13233017564044786  104 0.2088704131687208      0.06095790649503389    
1062.5 0.11050863308952706  104 0.09843324833346392     0.13592888278101825    
1063.0 0.15581688457757414  104 0.17117329892633032     0.14363908894890934    
1063.5 0.1366403015877      105 0.08183356581818492     0.15987620972257027    
1064.0 0.10529950804816485  107 0.03991820735941594     0.20726211274256923    
1064.5 0.09873370956546017  107 0.08051814907629892     0.08962119981583096    
1065.0 0.1020520063505832   107 0.046229351577961035    0.06509967409309243    
1065.5 0.12953515585338457  107 0.06545221616377736     0.094796390597366      
1066.0 0.12720583849570025  107 0.16004437600118587     0.10118340807178275    
1066.5 0.16497110738309403  107 0.2578129223924346      0.03261257412571402    
1067.0 0.16424306976674463  107 0.31715755179634886     0.05419256971502623    
1067.5 0.13082520314574841  107 0.09337848062848128     0.10004644053467888    
1068.0 0.14653647397466413  107 0.03608992716482913     0.11072715914729131    
1068.5 0.16199605273162063  107 0.0723261980719288      0.11143729802151307    
1069.0 0.12718309305403613  107 0.015282204967537856    0.1985985485079817     
1069.5 0.13174923606433223  107 0.02635547989677549     0.28237614796591737    
1070.0 0.13722747477858097  108 0.10191736842469631     0.20632192602356492    
1070.5 0.14697347656395837  108 0.1382133867807984      0.17236617323819148    
1071.0 0.09786436504777657  108 0.07414416951697181     0.16230846016915892    
1071.5 0.12049113337088964  108 0.08019735649204612     0.08144344073928095    
1072.0 0.1033150255085519   108 0.09212994451122328     0.11435259036339701    
1072.5 0.10917283627780462  109 0.04694741771135415     0.14813101781847665    
1073.0 0.16000147513127913  109 0.09615500004698804     0.22239709546888362    
1073.5 0.15830439648723998  109 0.10025381925154496     0.15420002084119344    
1074.0 0.13917103805240869  109 0.06814716100199081     0.18853711655464828    
1074.5 0.13619133500425307  109 0.1257149478213805      0.17051606033583688    
1075.0 0.11818372483214326  109 0.07290864577541875     0.16146038086550688    
1075.5 0.10167893680058016  109 0.08761935926436584     0.17429767223397036    
1076.0 0.1099360044889652   109 0.10363985896364436     0.16582123363383353    
1076.5 0.09598024016024932  109 0.039996054861283645    0.0723658715700565     
1077.0 0.10553809285623561  109 0.0907676144149438      0.15700008373754912    
1077.5 0.10825366566229583  109 0.166357213881166       0.15353322793141047    
1078.0 0.10960495973068565  109 0.17647138962013842     0.11997435623156184    
1078.5 0.08083330304310377  109 0.1140518901054597      0.13693326495904617    
1079.0 0.11997073380747952  109 0.14320744154244752     0.13589082803497285    
1079.5 0.09318092980444262  109 0.07813128651924908     0.16551587307731858    
1080.0 0.15349552135386335  109 0.26953534715252825     0.12084578025508048    
1080.5 0.09740551749140045  109 0.1276093412080025      0.1295357060553144     
1081.0 0.118353189736505    109 0.15473072693747286     0.1795382128183327     
1081.5 0.11275580687466677  109 0.07096139458851798     0.18185478925741866    
1082.0 0.13001123362474806  109 0.19810360361637624     0.11959662055375594    
1082.5 0.1372823049822091   110 0.09412350791642778     0.0822771334637036     
1083.0 0.13477239824022666  110 0.22234189334558158     0.08557734772188025    
1083.5 0.10401873725738178  110 0.14034835791765543     0.028953231456536      
1084.0 0.11188693564869423  111 0.15126680909473592     0.14244253684935165    
1084.5 0.10915862005739851  111 0.12273718500742123     0.14253465352893113    
1085.0 0.10026951254375001  111 0.16125689957147982     0.18142281117192258    
1085.5 0.11198530169947063  111 0.07481214688527392     0.12239514999635041    
1086.0 0.1231976876187375   111 0.09154633421265831     0.0755921039135758     
1086.5 0.0982353618854225   111 0.05844052050630614     0.12908092255649806    
1087.0 0.11724334381947708  111 0.07492352318798315     0.27816291337693405    
1087.5 0.09756823499333349  111 0.026470755558654732    0.17337397372744817    
1088.0 0.0983840009519677   111 0.11950057022950625     0.1458756803575557     
1088.5 0.1018745868115704   111 0.27522329438595966     0.13645397252282876    
1089.0 0.08958818386644785  111 0.09995368701006968     0.11619119868636886    
1089.5 0.08823510055394981  111 0.030776835428948403    0.008523607871404403   
1090.0 0.09813851576006909  111 0.12693669406038116     0.017014285714276003   
1090.5 0.12288391526786828  111 0.15070180448504528     0.1475147854037459     
1091.0 0.12269310786435417  111 0.07319567165176177     0.12272738105710788    
1091.5 0.11317779157605892  110 0.013488560127411632    0.10147157667476485    
1092.0 0.12271165258009786  110 0.03356532004897051     0.07089858784894137    
1092.5 0.12924392575062194  110 0.09513356880616357     0.10901934045996794    
1093.0 0.14013294814629645  110 0.14968581642178652     0.09970827586206897    
1093.5 0.08484968578312238  111 0.015515949284227157    0.1746512296978514     
1094.0 0.095738417869202    111 0.0568838317697949      0.18375789887455868    
1094.5 0.09873325201783759  112 0.15669356066134893     0.1471231284452763     
1095.0 0.07825517424257175  112 0.037222887027102414    0.07256659125959727    
1095.5 0.10406079247036094  112 0.09001956851662851     0.1662491008959178     
1096.0 0.10896971179558884  112 0.047721257303987075    0.14815198789400866    
1096.5 0.12210267325110465  112 0.07174813681278029     0.22593432218548246    
1097.0 0.11646450045486945  112 0.010942943502849217    0.20512362100999582    
1097.5 0.10822362807691707  112 0.13037386823233094     0.13172082173206684    
1098.0 0.09130034337503681  112 0.03583214952095452     0.163240623973728      
1098.5 0.09130857244994757  112 0.012015058314939573    0.16253250010676948    
1099.0 0.08626890548332519  112 0.07384001492576829     0.12523604098685082    
1099.5 0.08898471260264593  112 0.03668337488804341     0.14760615196730079    
1100.0 0.07952458262099642  112 0.09825068462110141     0.11601356044474848    
1100.5 0.08243519042187791  112 0.08244956687125068     0.107409679802942      
1101.0 0.10692865133012872  112 0.0020465944797127475   0.13447609614963546    
1101.5 0.11713831527203497  112 0.09823675923753522     0.13832221910364803    
1102.0 0.0950497557431275   112 0.11346898200705113     0.09489510897166178    
1102.5 0.09894632460666124  112 0.1509529491477736      0.03984733817662593    
1103.0 0.0844434612696449   112 0.06222282306886142     0.09258024316189589    
1103.5 0.05799698480803195  111 0.10394374548270487     0.03218138950121867    
1104.0 0.042954589364775    111 0.02467312295111014     0.03816302134646038    
1104.5 0.05869831348348259  112 0.02730204020190547     0.021767626873698546   
1105.0 0.05754725488165713  112 -0.015261730007204039   0.03829630541874118    
1105.5 0.07205074013944981  112 0.006723175736665049    0.08265326726004037    
1106.0 0.07886428100192976  113 0.04424856833721013     0.05864440065681521    
1106.5 0.08812479948535007  112 0.03638971996861404     0.10798128517980976    
1107.0 0.11170166983237573  112 0.0790575374742265      0.07640285761736045    
1107.5 0.09791587285289084  113 0.0988254868538482      0.06478899617224486    
1108.0 0.09081221674875081  113 0.04914224554249502     0.09081221674875081    
1108.5 0.07509530479197658  113 0.020362159128029786    0.09615292744095408    
1109.0 0.07238645485559925  113 -0.008014215999387298   0.19541537320595828    
1109.5 0.07752094200623957  113 0.15153574429546623     0.13269761904762775    
1110.0 0.10121661363410342  113 0.10535624797457248     0.08191829695868363    
1110.5 0.11224569817825328  114 0.23613757087047677     0.1316757628909538     
1111.0 0.10632037889322188  114 0.21041231662411677     0.16896885763064906    
1111.5 0.06471736130778188  114 0.061371809133884236    0.12385670878182717    
1112.0 0.07413813419880497  114 0.10907717312905744     0.1897491185351271     
1112.5 0.11684562704243587  114 0.10165412446809394     0.14383101052714703    
1113.0 0.05796051274707775  114 0.08842979640730797     0.1316854666557541     
1113.5 0.08225279379301836  114 0.03272471708189262     0.1984364482565856     
1114.0 0.10647334928153651  114 0.24416332144610378     0.12708932752748822    
1114.5 0.0850143774901988   114 0.09212170261027638     0.10361186897302502    
1115.0 0.08050232214985886  114 0.11345566174790311     0.09040974068435528    
1115.5 0.0761571741877291   114 0.005135445118821064    0.15779791936364135    
1116.0 0.06574465086909592  114 0.12365397376599119     0.15191671766480058    
1116.5 0.05862914727864321  114 0.04608243109821843     0.14632136003065438    
1117.0 0.06563430674461825  114 0.17185970771323344     0.16576791980886407    
1117.5 0.07303621055936149  115 0.22198014917380982     0.230665376588381      
1118.0 0.059552165434395905 115 0.1277621171971846      0.21439190854515222    
1118.5 0.03503583777368214  115 0.015517641580159258    0.13694898479083178    
1119.0 0.10445244256302788  115 0.2388987518613076      0.1884156344454556     
1119.5 0.07396349276756112  115 0.031384269315854176    0.14330767030843142    
1120.0 0.03990388755269476  115 0.12410526322471417     0.09618344123354775    
1120.5 0.0730978829990876   115 0.01806509690844389     0.07039857377166978    
1121.0 0.06946591152678493  115 -0.0058500404138566355  0.13157829252932585    
1121.5 0.06576641344113388  115 0.022042277560530982    0.0658438890621838     
1122.0 0.05698301878409748  115 0.037099220440459456    0.04520101808220287    
1122.5 0.07207623771157746  115 0.0365623192577839      0.12405869559463858    
1123.0 0.04668302697282257  115 0.1215225172441626      0.09931057579549576    
1123.5 0.0412908184676154   115 0.03421173304156852     0.05012950659656826    
1124.0 0.055270840270566016 115 0.15000469615365047     0.03706077971806667    
1124.5 0.07228048354814534  115 0.07285487163352415     0.04754347631540225    
1125.0 0.06353729234093036  115 0.032605982948815185    0.08503862012676792    
1125.5 0.05123745779648661  115 0.038406457478343856    0.17188146853017822    
1126.0 0.062485522395641147 116 0.1034827329029348      0.13827791794998023    
1126.5 0.05703074557655678  116 0.0973347695752706      0.020459993340714522   
1127.0 0.03944442583384019  116 0.049190066933540236    0.08846656408834605    
1127.5 0.0465528443825525   116 0.021857320528104403    0.07401203692863578    
1128.0 0.07411039384312337  116 0.1393344201244937      0.15833562434219836    
1128.5 0.05792949455917053  116 0.1844404628816464      0.09496701358011153    
1129.0 0.045512232376524596 116 0.05151548019595219     0.08617763489900286    
1129.5 0.04880193313345965  116 0.042296448217340736    0.07435219373335655    
1130.0 0.04434486963819995  116 0.01800248979579197     0.027573338937820976   
1130.5 0.03340801452669808  116 0.028314712776151704    0.02786252527594942    
1131.0 0.07099353434137042  116 0.11864687382565131     0.11661600765352287    
1131.5 0.09251434473786027  116 0.14954536949829283     0.1099438895191125     
1132.0 0.06059923926018988  116 0.11552223577247533     0.0665554281355448     
1132.5 0.027554101279479024 116 0.014338032915194438    0.03170503596166488    
1133.0 0.04030243000360864  116 0.04259314932283509     0.021160862005321267   
1133.5 0.03528664413021166  116 0.08926625445634159     0.06238448567583625    
1134.0 0.0520176853196685   116 0.21144035658480864     0.1409464886954435     
1134.5 0.04452276280024469  116 0.1665623786510758      0.11534768840065374    
1135.0 0.043213472669937    116 0.22876400795412982     0.13120835465413447    
1135.5 0.03454446149081321  116 0.13228935491250884     0.04039410393821506    
1136.0 0.06816961701348045  116 0.13252321518345714     0.13603252752609793    
1136.5 0.04891546228211416  116 0.13404304230477518     0.08302471568680356    
1137.0 0.07034928945318437  116 0.2312331839401563      0.08734422632968938    
1137.5 0.06531418950798726  116 0.15781828902110492     0.11822213420828184    
1138.0 0.03459955766059641  116 -0.008392363991289224   0.0378866656505831     
1138.5 0.05197775731324595  116 0.300184744015343       0.07197096313892565    
1139.0 0.05346606692254281  116 0.08237483869472235     0.13079621223725746    
1139.5 0.05107411369508759  116 0.07906812799853541     0.12012252415776498    
1140.0 0.0786222853140075   116 0.02120503749566481     0.10592777783283111    
1140.5 0.06792791376185903  116 0.01323741894148502     0.1054180382872707     
1141.0 0.06303561017425154  116 0.028186359745590958    0.13812835295366277    
1141.5 0.052408240625764366 116 0.0571125321410981      0.09950194019188174    
1142.0 0.0451193387520679   116 0.030665987697865063    0.08163810616913485    
1142.5 0.02766734443256804  116 0.020212127389867475    0.144578178160313      
1143.0 0.04174838777176057  116 0.028341160506793226    0.086802707209017      
1143.5 0.052112079228731685 116 0.012382078254183419    0.012353054817000698   
1144.0 0.03421493050196486  116 0.042080639122886586    0.04955647614443773    
1144.5 0.06539900754639297  116 0.03899444156383461     0.12985492483991468    
1145.0 0.0316001478168655   116 0.22070278166425936     0.05118177304966446    
1145.5 0.05734001599039656  116 0.0932771553977898      0.0010572176747410049  
1146.0 0.04387889487888935  116 0.2240192353774928      0.028126644081584315   
1146.5 0.040357424487737464 116 0.17492036842508885     0.09253304163356493    
1147.0 0.047757577112293254 115 0.10690776365439277     0.05119588951861055    
1147.5 0.036039525149483206 115 0.10445098460804284     0.13380538877619597    
1148.0 0.07081018280301632  115 0.09150610705619142     0.11508318477828983    
1148.5 0.029658518088766978 116 0.05383616857067818     0.09601047784551874    
1149.0 0.027662651667483478 116 0.011702085913096304    0.064337788366988      
1149.5 0.061204671196947995 116 0.07427982236474698     0.08887409706109019    
1150.0 0.04474723254854561  116 0.01647136917196299     0.06228593883663746    
1150.5 0.04575613971426709  116 -0.006986027261834126   0.07044160574589767    
1151.0 0.04939016648596796  116 0.10644824167512872     0.07741570756342953    
1151.5 0.030860265745469316 116 0.06395193182179212     0.0362388563775806     
1152.0 0.05284423631641667  116 0.059394044800603604    0.04934613142277052    
1152.5 0.04538890578726916  116 0.09894251459667625     0.0416700240614206     
1153.0 0.04797217873870929  116 0.15433301188803897     0.09584428059055385    
1153.5 0.041420836876099994 116 0.13202053843061562     0.04580404519466735    
1154.0 0.045226543256922144 116 0.06435280333075995     -0.01867645008751148   
1154.5 0.05508408468326477  116 0.12784146408852284     0.03263160249327127    
1155.0 0.030962818641505963 116 0.033805050289232155    0.08906688995980816    
1155.5 0.03758174896793243  116 0.08349992203036555     0.04666345577024192    
1156.0 0.06835090571059632  116 0.05803593089654566     0.06861844480858587    
1156.5 0.03325309057266432  116 0.01760511250625406     0.06590569070777309    
1157.0 0.03477366700572389  116 0.005894321599407242    0.014304238911289685   
1157.5 0.04593581905539153  116 0.11849678055810135     0.017546500210191326   
1158.0 0.040953521732479944 116 0.07592744815626418     0.041152191124623094   
1158.5 0.058328620712489836 116 0.14149511213611873     0.048273022386095814   
1159.0 0.02319392930644669  116 0.025591384295793565    0.002015531313970805   
1159.5 0.033861617595500104 116 0.040166235290458825    0.08135908935611465    
1160.0 0.03986423565381791  116 0.026391556001477346    0.05446772262493933    
1160.5 0.016890336333085388 116 0.006000174147733298    0.028625472913563578   
1161.0 0.03271427136993585  116 -0.0007948739549461254  0.07588592723275847    
1161.5 0.03198313778194413  116 0.04526639459544614     0.05804234799511948    
1162.0 0.033173192857919837 116 0.06522903883475839     0.09885316553883258    
1162.5 0.028923225581611856 116 0.005512984748268298    0.05458134979457306    
1163.0 0.029067368306070165 116 0.08876206820188041     0.06993491395887941    
1163.5 0.03482342756981509  116 0.07245798720260013     0.03281101360817923    
1164.0 0.034241577803384556 116 0.045026684576182044    0.017872953139368604   
1164.5 0.02646936857703447  116 0.006233967931134258    0.050320458650163616   
1165.0 0.034576164478214114 116 0.14138013450844242     -0.002661579002389978  
1165.5 0.04308583903045235  116 0.0813319284888685      0.023142528079190032   
1166.0 0.04891511945553567  116 0.11499664842260161     0.00409435911074123    
1166.5 0.04172853420433769  116 0.014529025500542664    0.023246043055273592   
1167.0 0.02812655807928404  116 0.02474745551243783     0.01694022269227025    
1167.5 0.039972094873739664 116 0.08074104555578099     0.05859606191177765    
1168.0 0.039534867265881665 116 0.14442450904159754     0.010375159819168239   
1168.5 0.03832757213223355  116 0.20222065100027425     0.051869497506653414   
1169.0 0.02804575776459925  116 0.02436633926717452     -0.0006840036320607621 
1169.5 0.017000946163468568 116 0.015143693286477881    0.03227051736664164    
1170.0 0.03597617157591961  116 0.0363133595698791      0.04823366117168526    
1170.5 0.02581250765421459  116 -0.038592136999443534   0.0688216919069076     
1171.0 0.015390175626832809 116 -0.007755983575082237   0.03987032694231265    
1171.5 0.03349102192843209  116 0.0074775939059477025   0.05262748158333731    
1172.0 0.04044297088467619  116 -0.013515345436063999   0.04661557426269933    
1172.5 0.039368846821109804 116 0.09595090186437238     0.005252195791496305   
1173.0 0.03753824263542115  116 0.14973093886162014     0.044359974543250684   
